topology,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
BA,0,4,9,3,0.3333333333333333,4.666666666666667,74.17,3.681666666666672
BA,0,4,10,2,0.0,4.0,74.3,3.8116666666666674
BA,0,4,11,2,1.0,4.0,73.16,2.671666666666667
BA,1,4,0,4,0.3333333333333333,3.75,68.63,-1.9183333333333366
BA,1,4,1,2,0.0,4.0,67.57,-2.978333333333339
BA,1,4,2,3,0.3333333333333333,4.0,69.04,-1.5083333333333258
BA,1,4,3,5,0.3,4.0,70.35,-0.1983333333333377
BA,1,4,4,5,0.2,3.8,73.96,3.4116666666666617
BA,1,4,5,4,0.0,3.25,74.53,3.981666666666669
BA,1,4,6,4,0.16666666666666666,3.75,72.0,1.451666666666668
BA,1,4,7,4,0.0,3.25,68.97,-1.5783333333333331
BA,1,4,8,2,0.0,4.0,59.98,-10.568333333333335
BA,1,4,9,3,0.0,3.0,74.76,4.211666666666673
BA,1,4,10,2,0.0,3.5,74.55,4.001666666666665
BA,1,4,11,2,0.0,4.5,72.24,1.6916666666666629
BA,2,4,0,10,0.17777777777777778,2.8,75.27,5.060000000000002
BA,2,4,1,2,0.0,6.0,71.12,0.9100000000000108
BA,2,4,2,8,0.21428571428571427,3.25,73.02,2.8100000000000023
BA,2,4,3,2,1.0,9.0,68.36,-1.8499999999999943
BA,2,4,4,2,1.0,9.0,66.94,-3.269999999999996
BA,2,4,5,2,1.0,9.0,66.13,-4.079999999999998
BA,2,4,6,2,0.0,5.0,70.18,-0.029999999999986926
BA,2,4,7,4,0.5,5.5,73.98,3.7700000000000102
BA,2,4,8,2,1.0,9.0,60.48,-9.729999999999997
BA,2,4,9,2,1.0,7.0,73.28,3.0700000000000074
BA,2,4,10,2,1.0,7.0,75.3,5.090000000000003
BA,2,4,11,2,1.0,9.0,68.46,-1.75
ER,0,8,0,8,0.7857142857142857,8.75,68.92,-1.3966666666666754
ER,0,8,1,8,0.8571428571428571,9.0,71.61,1.2933333333333223
ER,0,8,2,11,0.7090909090909091,8.090909090909092,72.72,2.4033333333333218
ER,0,8,3,8,0.8214285714285714,9.0,72.66,2.3433333333333195
