topology,mixing_strategy,num_nodes,seed,k_target,round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,communication_mb,time_per_round
WS,uniform,30,42,4,39,76.16733333333333,1.5042316606456887,72.4,78.27,1952.8445434570312,55.02051758766174
WS,uniform,30,42,4,40,76.463,1.3587056340502894,73.38,78.6,2002.91748046875,55.04559278488159
BA,uniform,30,42,4,1,24.793999999999997,5.878533036963105,14.59,41.81,46.7347412109375,55.362343311309814
BA,uniform,30,42,4,2,30.86933333333333,5.879588383174077,20.72,45.1,93.469482421875,55.437814712524414
BA,uniform,30,42,4,3,36.61266666666667,6.537550475692117,23.29,51.09,140.2042236328125,55.48536968231201
BA,uniform,30,42,4,4,42.03733333333333,5.987756359624382,30.95,57.88,186.93896484375,55.39943313598633
BA,uniform,30,42,4,5,46.61300000000001,5.770075764956067,36.51,62.96,233.6737060546875,55.45155358314514
BA,uniform,30,42,4,6,52.00300000000001,5.106447656313208,44.01,63.65,280.408447265625,55.16804766654968
BA,uniform,30,42,4,7,56.33133333333333,5.193531703528492,47.32,64.58,327.1431884765625,55.26083064079285
BA,uniform,30,42,4,8,59.846999999999994,5.220817400880185,49.82,69.45,373.8779296875,55.257264137268066
BA,uniform,30,42,4,9,62.461999999999996,4.772064822135871,51.32,70.41,420.6126708984375,55.231051206588745
BA,uniform,30,42,4,10,64.421,4.507962104247698,53.07,71.48,467.347412109375,55.369728088378906
BA,uniform,30,42,4,11,65.92533333333334,4.128950418151755,55.63,71.57,514.0821533203125,55.38353419303894
BA,uniform,30,42,4,12,67.03966666666665,3.7391277800518607,57.76,72.17,560.81689453125,55.124263763427734
BA,uniform,30,42,4,13,68.13600000000001,3.2315131646541895,60.13,72.56,607.5516357421875,55.14703583717346
BA,uniform,30,42,4,14,69.127,2.942312186019696,61.36,72.88,654.286376953125,55.13377571105957
BA,uniform,30,42,4,15,69.67933333333332,2.8116020739468492,62.26,73.24,701.0211181640625,55.2667031288147
BA,uniform,30,42,4,16,70.24433333333333,2.6350492510682892,64.65,73.8,747.755859375,55.40071511268616
BA,uniform,30,42,4,17,70.89933333333335,2.4534763545268206,65.4,73.83,794.4906005859375,55.3487286567688
BA,uniform,30,42,4,18,71.41266666666667,2.1348285385222123,66.54,74.44,841.225341796875,55.37245154380798
BA,uniform,30,42,4,19,71.76266666666668,2.0815057583927596,67.26,74.49,887.9600830078125,55.39040422439575
BA,uniform,30,42,4,20,72.07300000000001,2.096066395258827,67.73,74.89,934.69482421875,55.28498125076294
BA,uniform,30,42,4,21,72.492,2.037934248203313,67.91,75.0,981.4295654296875,55.334139347076416
BA,uniform,30,42,4,22,72.81233333333333,1.918067922560501,68.24,75.34,1028.164306640625,55.34445333480835
BA,uniform,30,42,4,23,72.93233333333335,1.7587849656952264,69.3,75.48,1074.8990478515625,55.17349362373352
BA,uniform,30,42,4,24,73.27066666666668,1.771217911181141,69.85,75.74,1121.6337890625,55.22804236412048
BA,uniform,30,42,4,25,73.54533333333332,1.6990756964368072,70.38,76.03,1168.3685302734375,55.476438760757446
BA,uniform,30,42,4,26,73.81266666666666,1.6382936922976363,70.17,76.22,1215.103271484375,55.68409180641174
BA,uniform,30,42,4,27,74.05766666666665,1.5417494031852976,70.6,76.11,1261.8380126953125,55.369030475616455
BA,uniform,30,42,4,28,74.18000000000002,1.5784190402636,70.76,76.46,1308.57275390625,55.596153259277344
BA,uniform,30,42,4,29,74.63233333333332,1.5905694647585258,71.55,76.62,1355.3074951171875,55.52485227584839
BA,uniform,30,42,4,30,74.80166666666668,1.485590978552156,72.06,76.84,1402.042236328125,55.4293270111084
BA,uniform,30,42,4,31,74.862,1.5428121510194732,71.8,77.02,1448.7769775390625,55.484200954437256
BA,uniform,30,42,4,32,75.109,1.5623366047899756,71.44,77.21,1495.51171875,55.17359209060669
BA,uniform,30,42,4,33,75.27733333333332,1.454122721399019,72.0,77.34,1542.2464599609375,55.33098316192627
BA,uniform,30,42,4,34,75.52266666666668,1.3511993026772764,72.74,77.45,1588.981201171875,55.4638512134552
BA,uniform,30,42,4,35,75.62566666666666,1.4764680453328107,71.84,77.75,1635.7159423828125,55.469504594802856
BA,uniform,30,42,4,36,75.56133333333332,1.5675048821472797,71.21,77.99,1682.45068359375,55.37763285636902
BA,uniform,30,42,4,37,76.00466666666668,1.4707724349999058,72.29,77.87,1729.1854248046875,55.44902300834656
BA,uniform,30,42,4,38,75.96000000000001,1.4094561598952502,72.52,78.07,1775.920166015625,55.454352140426636
BA,uniform,30,42,4,39,76.26433333333333,1.282735834933374,73.56,78.14,1822.6549072265625,55.39921474456787
BA,uniform,30,42,4,40,76.63033333333334,1.2266797553649533,73.69,78.19,1869.3896484375,55.299670457839966
