topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,metropolis_hastings,50,42,4,3,47,34.36,5
ER,metropolis_hastings,50,42,4,3,48,22.88,4
ER,metropolis_hastings,50,42,4,3,49,30.58,3
ER,metropolis_hastings,50,42,4,4,0,39.89,4
ER,metropolis_hastings,50,42,4,4,1,30.26,9
ER,metropolis_hastings,50,42,4,4,2,43.22,4
ER,metropolis_hastings,50,42,4,4,3,32.77,5
ER,metropolis_hastings,50,42,4,4,4,10.46,1
ER,metropolis_hastings,50,42,4,4,5,27.84,3
ER,metropolis_hastings,50,42,4,4,6,35.19,4
ER,metropolis_hastings,50,42,4,4,7,35.03,5
ER,metropolis_hastings,50,42,4,4,8,43.33,4
ER,metropolis_hastings,50,42,4,4,9,22.53,1
ER,metropolis_hastings,50,42,4,4,10,32.87,3
ER,metropolis_hastings,50,42,4,4,11,27.81,6
ER,metropolis_hastings,50,42,4,4,12,23.02,2
ER,metropolis_hastings,50,42,4,4,13,43.34,5
ER,metropolis_hastings,50,42,4,4,14,32.87,7
ER,metropolis_hastings,50,42,4,4,15,26.09,3
ER,metropolis_hastings,50,42,4,4,16,23.93,5
ER,metropolis_hastings,50,42,4,4,17,29.56,4
ER,metropolis_hastings,50,42,4,4,18,36.72,4
ER,metropolis_hastings,50,42,4,4,19,27.48,1
ER,metropolis_hastings,50,42,4,4,20,29.0,4
ER,metropolis_hastings,50,42,4,4,21,27.97,3
ER,metropolis_hastings,50,42,4,4,22,35.05,8
ER,metropolis_hastings,50,42,4,4,23,31.69,4
ER,metropolis_hastings,50,42,4,4,24,39.87,5
ER,metropolis_hastings,50,42,4,4,25,45.68,5
ER,metropolis_hastings,50,42,4,4,26,26.89,5
ER,metropolis_hastings,50,42,4,4,27,29.5,4
ER,metropolis_hastings,50,42,4,4,28,38.8,4
ER,metropolis_hastings,50,42,4,4,29,38.5,7
ER,metropolis_hastings,50,42,4,4,30,30.53,5
ER,metropolis_hastings,50,42,4,4,31,29.96,3
ER,metropolis_hastings,50,42,4,4,32,44.6,4
ER,metropolis_hastings,50,42,4,4,33,22.76,3
ER,metropolis_hastings,50,42,4,4,34,33.01,2
ER,metropolis_hastings,50,42,4,4,35,27.75,6
ER,metropolis_hastings,50,42,4,4,36,22.93,3
ER,metropolis_hastings,50,42,4,4,37,43.58,4
ER,metropolis_hastings,50,42,4,4,38,29.05,5
ER,metropolis_hastings,50,42,4,4,39,30.6,4
ER,metropolis_hastings,50,42,4,4,40,36.01,3
ER,metropolis_hastings,50,42,4,4,41,28.46,3
ER,metropolis_hastings,50,42,4,4,42,43.31,3
ER,metropolis_hastings,50,42,4,4,43,19.6,2
ER,metropolis_hastings,50,42,4,4,44,35.2,6
ER,metropolis_hastings,50,42,4,4,45,42.86,5
ER,metropolis_hastings,50,42,4,4,46,35.77,2
ER,metropolis_hastings,50,42,4,4,47,36.74,5
ER,metropolis_hastings,50,42,4,4,48,28.65,4
ER,metropolis_hastings,50,42,4,4,49,31.51,3
ER,metropolis_hastings,50,42,4,5,0,45.1,4
ER,metropolis_hastings,50,42,4,5,1,33.94,9
ER,metropolis_hastings,50,42,4,5,2,48.69,4
ER,metropolis_hastings,50,42,4,5,3,39.74,5
ER,metropolis_hastings,50,42,4,5,4,12.22,1
ER,metropolis_hastings,50,42,4,5,5,31.47,3
ER,metropolis_hastings,50,42,4,5,6,38.06,4
ER,metropolis_hastings,50,42,4,5,7,39.16,5
ER,metropolis_hastings,50,42,4,5,8,52.67,4
ER,metropolis_hastings,50,42,4,5,9,25.67,1
ER,metropolis_hastings,50,42,4,5,10,34.84,3
