topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,uniform,30,42,4,8,23,51.63,2
ER,uniform,30,42,4,8,24,53.5,2
ER,uniform,30,42,4,8,25,60.34,5
ER,uniform,30,42,4,8,26,57.11,5
ER,uniform,30,42,4,8,27,43.2,3
ER,uniform,30,42,4,8,28,53.97,1
ER,uniform,30,42,4,8,29,65.45,3
ER,uniform,30,42,4,9,0,55.87,4
ER,uniform,30,42,4,9,1,59.38,3
ER,uniform,30,42,4,9,2,56.81,4
ER,uniform,30,42,4,9,3,67.56,3
ER,uniform,30,42,4,9,4,64.08,4
ER,uniform,30,42,4,9,5,56.79,4
ER,uniform,30,42,4,9,6,60.48,3
ER,uniform,30,42,4,9,7,55.19,1
ER,uniform,30,42,4,9,8,64.05,7
ER,uniform,30,42,4,9,9,58.93,4
ER,uniform,30,42,4,9,10,54.78,2
ER,uniform,30,42,4,9,11,59.75,4
ER,uniform,30,42,4,9,12,56.24,3
ER,uniform,30,42,4,9,13,62.64,2
ER,uniform,30,42,4,9,14,67.03,3
ER,uniform,30,42,4,9,15,59.88,4
ER,uniform,30,42,4,9,16,61.4,4
ER,uniform,30,42,4,9,17,55.43,3
ER,uniform,30,42,4,9,18,67.74,7
ER,uniform,30,42,4,9,19,56.96,1
ER,uniform,30,42,4,9,20,57.2,4
ER,uniform,30,42,4,9,21,58.32,3
ER,uniform,30,42,4,9,22,55.38,4
ER,uniform,30,42,4,9,23,55.12,2
ER,uniform,30,42,4,9,24,56.29,2
ER,uniform,30,42,4,9,25,62.35,5
ER,uniform,30,42,4,9,26,61.06,5
ER,uniform,30,42,4,9,27,52.12,3
ER,uniform,30,42,4,9,28,55.38,1
ER,uniform,30,42,4,9,29,66.12,3
ER,uniform,30,42,4,10,0,58.88,4
ER,uniform,30,42,4,10,1,63.17,3
ER,uniform,30,42,4,10,2,60.16,4
ER,uniform,30,42,4,10,3,68.45,3
ER,uniform,30,42,4,10,4,66.04,4
ER,uniform,30,42,4,10,5,57.97,4
ER,uniform,30,42,4,10,6,64.03,3
ER,uniform,30,42,4,10,7,57.27,1
ER,uniform,30,42,4,10,8,65.49,7
ER,uniform,30,42,4,10,9,60.22,4
ER,uniform,30,42,4,10,10,57.88,2
ER,uniform,30,42,4,10,11,61.09,4
ER,uniform,30,42,4,10,12,60.22,3
ER,uniform,30,42,4,10,13,64.86,2
ER,uniform,30,42,4,10,14,65.51,3
ER,uniform,30,42,4,10,15,61.57,4
ER,uniform,30,42,4,10,16,63.31,4
ER,uniform,30,42,4,10,17,59.75,3
ER,uniform,30,42,4,10,18,68.93,7
ER,uniform,30,42,4,10,19,61.33,1
ER,uniform,30,42,4,10,20,60.75,4
ER,uniform,30,42,4,10,21,61.67,3
ER,uniform,30,42,4,10,22,59.29,4
ER,uniform,30,42,4,10,23,57.24,2
ER,uniform,30,42,4,10,24,60.35,2
ER,uniform,30,42,4,10,25,64.42,5
ER,uniform,30,42,4,10,26,61.5,5
ER,uniform,30,42,4,10,27,53.84,3
ER,uniform,30,42,4,10,28,58.23,1
ER,uniform,30,42,4,10,29,68.98,3
ER,uniform,30,42,4,11,0,60.01,4
ER,uniform,30,42,4,11,1,64.76,3
ER,uniform,30,42,4,11,2,61.81,4
ER,uniform,30,42,4,11,3,68.93,3
ER,uniform,30,42,4,11,4,67.38,4
ER,uniform,30,42,4,11,5,60.93,4
ER,uniform,30,42,4,11,6,66.19,3
ER,uniform,30,42,4,11,7,60.18,1
ER,uniform,30,42,4,11,8,67.17,7
ER,uniform,30,42,4,11,9,63.27,4
ER,uniform,30,42,4,11,10,61.38,2
ER,uniform,30,42,4,11,11,65.16,4
ER,uniform,30,42,4,11,12,62.3,3
ER,uniform,30,42,4,11,13,65.68,2
ER,uniform,30,42,4,11,14,66.4,3
ER,uniform,30,42,4,11,15,65.04,4
ER,uniform,30,42,4,11,16,65.67,4
ER,uniform,30,42,4,11,17,63.37,3
ER,uniform,30,42,4,11,18,70.19,7
ER,uniform,30,42,4,11,19,62.46,1
ER,uniform,30,42,4,11,20,64.21,4
ER,uniform,30,42,4,11,21,63.38,3
ER,uniform,30,42,4,11,22,61.74,4
ER,uniform,30,42,4,11,23,59.91,2
ER,uniform,30,42,4,11,24,61.71,2
ER,uniform,30,42,4,11,25,65.13,5
ER,uniform,30,42,4,11,26,63.14,5
ER,uniform,30,42,4,11,27,57.7,3
ER,uniform,30,42,4,11,28,61.79,1
ER,uniform,30,42,4,11,29,70.33,3
ER,uniform,30,42,4,12,0,61.68,4
ER,uniform,30,42,4,12,1,66.37,3
ER,uniform,30,42,4,12,2,63.13,4
ER,uniform,30,42,4,12,3,68.98,3
ER,uniform,30,42,4,12,4,68.26,4
ER,uniform,30,42,4,12,5,64.18,4
ER,uniform,30,42,4,12,6,68.89,3
ER,uniform,30,42,4,12,7,61.78,1
ER,uniform,30,42,4,12,8,67.39,7
ER,uniform,30,42,4,12,9,63.95,4
ER,uniform,30,42,4,12,10,63.57,2
ER,uniform,30,42,4,12,11,66.03,4
ER,uniform,30,42,4,12,12,64.41,3
ER,uniform,30,42,4,12,13,67.08,2
ER,uniform,30,42,4,12,14,67.34,3
ER,uniform,30,42,4,12,15,64.55,4
ER,uniform,30,42,4,12,16,66.38,4
ER,uniform,30,42,4,12,17,65.57,3
ER,uniform,30,42,4,12,18,70.82,7
ER,uniform,30,42,4,12,19,62.77,1
ER,uniform,30,42,4,12,20,65.52,4
ER,uniform,30,42,4,12,21,64.32,3
ER,uniform,30,42,4,12,22,66.02,4
ER,uniform,30,42,4,12,23,65.41,2
ER,uniform,30,42,4,12,24,63.97,2
ER,uniform,30,42,4,12,25,66.43,5
ER,uniform,30,42,4,12,26,63.53,5
ER,uniform,30,42,4,12,27,60.13,3
ER,uniform,30,42,4,12,28,62.63,1
ER,uniform,30,42,4,12,29,70.27,3
ER,uniform,30,42,4,13,0,64.45,4
ER,uniform,30,42,4,13,1,67.76,3
ER,uniform,30,42,4,13,2,65.17,4
ER,uniform,30,42,4,13,3,69.85,3
ER,uniform,30,42,4,13,4,69.15,4
ER,uniform,30,42,4,13,5,64.69,4
ER,uniform,30,42,4,13,6,69.65,3
ER,uniform,30,42,4,13,7,63.84,1
ER,uniform,30,42,4,13,8,69.33,7
ER,uniform,30,42,4,13,9,66.01,4
ER,uniform,30,42,4,13,10,67.14,2
ER,uniform,30,42,4,13,11,66.8,4
ER,uniform,30,42,4,13,12,65.51,3
ER,uniform,30,42,4,13,13,67.27,2
ER,uniform,30,42,4,13,14,68.55,3
ER,uniform,30,42,4,13,15,67.87,4
ER,uniform,30,42,4,13,16,67.26,4
ER,uniform,30,42,4,13,17,67.13,3
ER,uniform,30,42,4,13,18,71.6,7
ER,uniform,30,42,4,13,19,64.75,1
ER,uniform,30,42,4,13,20,68.99,4
ER,uniform,30,42,4,13,21,65.42,3
ER,uniform,30,42,4,13,22,66.67,4
ER,uniform,30,42,4,13,23,66.51,2
ER,uniform,30,42,4,13,24,63.92,2
ER,uniform,30,42,4,13,25,68.51,5
ER,uniform,30,42,4,13,26,65.52,5
ER,uniform,30,42,4,13,27,62.37,3
ER,uniform,30,42,4,13,28,63.58,1
ER,uniform,30,42,4,13,29,71.15,3
ER,uniform,30,42,4,14,0,64.38,4
ER,uniform,30,42,4,14,1,68.26,3
ER,uniform,30,42,4,14,2,66.04,4
ER,uniform,30,42,4,14,3,70.36,3
ER,uniform,30,42,4,14,4,69.75,4
ER,uniform,30,42,4,14,5,67.34,4
ER,uniform,30,42,4,14,6,70.07,3
ER,uniform,30,42,4,14,7,67.06,1
ER,uniform,30,42,4,14,8,69.27,7
ER,uniform,30,42,4,14,9,67.86,4
ER,uniform,30,42,4,14,10,69.14,2
ER,uniform,30,42,4,14,11,66.91,4
ER,uniform,30,42,4,14,12,67.25,3
ER,uniform,30,42,4,14,13,67.88,2
ER,uniform,30,42,4,14,14,68.45,3
ER,uniform,30,42,4,14,15,69.06,4
ER,uniform,30,42,4,14,16,68.41,4
ER,uniform,30,42,4,14,17,68.0,3
